board_size,coordinates,MN_time,Eval_time,num_times_passed,num_times_failed
10,(1 9),1.798720,0.001158,294,0
10,(1 10),13.791943,0.001177,295,0
10,(2 1),18.056453,0.001221,296,0
10,(2 2),0.476303,0.001393,297,0
10,(2 3),17.783744,0.001186,298,0
10,(2 4),14.584179,0.001320,299,0
10,(2 5),23.085686,0.001286,300,0
10,(2 6),22.523667,0.001292,301,0
10,(2 7),0.051876,0.001306,302,0
10,(2 8),0.952497,0.001316,303,0
10,(2 9),42.628845,0.001233,304,0
10,(2 10),26.138284,0.001227,305,0
10,(3 1),118.947722,0.001213,306,0
10,(3 2),58.121126,0.001301,307,0
10,(3 3),21.903273,0.001448,308,0
10,(3 4),0.848967,0.001361,309,0
10,(3 5),17.259976,0.001278,310,0
10,(3 6),0.535335,0.001355,311,0
10,(3 7),22.530634,0.001360,312,0
10,(3 8),40.371567,0.001275,313,0
10,(3 9),1.735624,0.001270,314,0
10,(3 10),16.945972,0.001259,315,0
10,(4 1),25.296713,0.001372,316,0
10,(4 2),13.215551,0.001180,317,0
10,(4 3),21.951217,0.001346,318,0
10,(4 4),0.560030,0.001342,319,0
10,(4 5),2.122607,0.001290,320,0
10,(4 6),21.660112,0.001385,321,0
10,(4 7),0.707048,0.001199,322,0
10,(4 8),0.713345,0.001199,323,0
10,(4 9),0.660520,0.001159,324,0
10,(4 10),22.791658,0.001269,325,0
10,(5 1),4.226082,0.001243,326,0
10,(5 2),24.315290,0.001374,327,0
10,(5 3),0.274671,0.001369,328,0
10,(5 4),19.521518,0.001222,329,0
10,(5 5),1.225423,0.001276,330,0
10,(5 6),0.545770,0.001411,331,0
10,(5 7),0.035928,0.001288,332,0
10,(5 8),13.290330,0.001331,333,0
10,(5 9),15.676846,0.001298,334,0
10,(5 10),0.490392,0.001298,335,0
10,(6 1),0.009152,0.001003,336,0
10,(6 2),22.533753,0.001148,337,0
10,(6 3),0.526726,0.001111,338,0
10,(6 4),1.693807,0.001262,339,0
10,(6 5),0.032604,0.001411,340,0
10,(6 6),1.461297,0.001248,341,0
10,(6 7),14.916345,0.001182,342,0
10,(6 8),11.687032,0.001214,343,0
10,(6 9),17.229807,0.001295,344,0
10,(6 10),0.871912,0.001177,345,0
10,(7 1),3.224427,0.001181,346,0
10,(7 2),1.690848,0.001299,347,0
10,(7 3),1.983148,0.001273,348,0
10,(7 4),0.465948,0.001211,349,0
10,(7 5),16.822987,0.001292,350,0
10,(7 6),11.561910,0.001230,351,0
10,(7 7),18.729869,0.001223,352,0
10,(7 8),0.309291,0.001348,353,0
10,(7 9),0.039570,0.001154,354,0
10,(7 10),44.914304,0.001272,355,0
10,(8 1),1.288424,0.001360,356,0
10,(8 2),0.631673,0.001462,357,0
10,(8 3),1.330449,0.001177,358,0
10,(8 4),18.966970,0.001415,359,0
10,(8 5),1.829453,0.001366,360,0
10,(8 6),11.916491,0.001397,361,0
10,(8 7),28.436469,0.001293,362,0
10,(8 8),60.965265,0.001336,363,0
10,(8 9),1.262499,0.001440,364,0
10,(8 10),45.384456,0.001368,365,0
10,(9 1),23.446705,0.001295,366,0
10,(9 2),17.300081,0.001275,367,0
10,(9 3),0.907188,0.001236,368,0
10,(9 4),0.444863,0.001378,369,0
10,(9 5),0.065527,0.001287,370,0
10,(9 6),16.047439,0.001241,371,0
10,(9 7),56.255558,0.001307,372,0
10,(9 8),0.482941,0.001307,373,0
10,(9 9),56.571233,0.001465,374,0
10,(9 10),40.024759,0.001340,375,0
10,(10 1),13.813288,0.001345,376,0
10,(10 2),38.444318,0.001348,377,0
10,(10 3),16.180870,0.001181,378,0
10,(10 4),18.520316,0.001371,379,0
10,(10 5),0.050242,0.001255,380,0
10,(10 6),2.020918,0.001305,381,0
10,(10 7),0.457907,0.001205,382,0
10,(10 8),0.620517,0.001349,383,0
10,(10 9),17.861497,0.001332,384,0
10,(10 10),17.867716,0.001318,385,0

11,(1 1),4.064526,0.001326,386,0
11,(1 2),3.311949,0.001493,387,0
11,(1 3),381.393635,0.001499,388,0
11,(1 4),16.322361,0.001305,389,0
